Variable| Name
BX.KLT.DINV.WD.GD.ZS    |Foreign direct investment, net inflows (% of GDP)
BX.KLT.DINV.CD.WD  |Foreign direct investment, net inflows (BoP, current US$)
BX.GSR.TOTL.CD     |Exports of goods, services and primary income (BoP, current US$)
TG.VAL.TOTL.GD.ZS  |Merchandise trade (% of GDP)
TX.VAL.FUEL.ZS.UN  |Fuel exports (% of merchandise exports)
TX.VAL.FOOD.ZS.UN  |Food exports (% of merchandise exports)
TX.VAL.AGRI.ZS.UN  |Agricultural raw materials exports (% of merchandise exports)
TX.QTY.MRCH.XD.WD  |Export volume index (2000 = 100)
TX.VAL.MMTL.ZS.UN  |Ores and metals exports (% of merchandise exports)
TX.VAL.MANF.ZS.UN  |Manufactures exports (% of merchandise exports)
EG.ELC.ACCS.ZS     |Access to electricity (% of population)
EG.ELC.ACCS.UR.ZS  |Access to electricity, urban (% of urban population)
EG.ELC.ACCS.RU.ZS  |Access to electricity, rural (% of rural population)
TX.VAL.MRCH.XD.WD  |Export value index (2000 = 100)
IS.SHP.GCNW.XQ     |Liner shipping connectivity index (maximum value in 2004 = 100)
IT.CEL.SETS.P2     |Mobile cellular subscriptions (per 100 people)
NY.GDP.PETR.RT.ZS  |Oil rents (% of GDP)
NY.GDP.TOTL.RT.ZS  |Total natural resources rents (% of GDP)
VC.IDP.TOCV        |Internally displaced persons, total displaced by conflict and violence (number of people)
VC.IDP.NWDS        |Internally displaced persons, new displacement associated with disasters (number of cases)
VC.IDP.NWCV        |Internally displaced persons, new displacement associated with conflict and violence (number of cases)
VC.BTL.DETH        |Battle-related deaths (number of people)
GC.TAX.YPKG.ZS     |Taxes on income, profits and capital gains (% of total taxes)
FS.AST.DOMS.GD.ZS  |Domestic credit provided by financial sector (% of GDP)
IQ.WEF.PORT.XQ     |Quality of port infrastructure, WEF (1=extremely underdeveloped to 7=well developed and efficient by international standards)
EN.URB.MCTY.TL.ZS  |Population in urban agglomerations of more than 1 million (% of total population)
EN.URB.MCTY        |Population in urban agglomerations of more than 1 million
EN.URB.LCTY.UR.ZS  |Population in the largest city (% of urban population)
EN.URB.LCTY        |Population in largest city
EN.POP.SLUM.UR.ZS  |Population living in slums (% of urban population)
SP.URB.TOTL.IN.ZS  |Urban population (% of total)
SP.URB.TOTL        |Urban population
SP.URB.GROW        |Urban population growth (annual %)
NE.EXP.GNFS.ZS     |Exports of goods and services (% of GDP)
EN.POP.DNST        |Population density (people per sq. km of land area)
SP.POP.TOTL        |Population, total
SL.UEM.1524.ZS     |Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)
SL.UEM.1524.NE.ZS  |Unemployment, youth total (% of total labor force ages 15-24) (national estimate)
IT.NET.USER.ZS     |Individuals using the Internet (% of population)
LP.LPI.OVRL.XQ     |Logistics performance index: Overall (1=low to 5=high)
MS.MIL.TOTL.TF.ZS  |Armed forces personnel (% of total labor force)
NY.TAX.NIND.CD     |Net taxes on products (current US$)
FS.AST.PRVT.GD.ZS  |Domestic credit to private sector (% of GDP)
BN.GSR.MRCH.CD     |Net trade in goods (BoP, current US$)
TX.VAL.MRCH.CD.WT  |Merchandise exports (current US$)
IC.BUS.EASE.XQ     |Ease of doing business index (1=most business-friendly regulations)
NY.GNP.ATLS.CD     |GNI, Atlas method (current US$)
NY.GNP.MKTP.KD     |GNI (constant 2010 US$)
