|countrycode|countryname|0
0|AFG|Afghanistan|27
1|AGO|Angola|27
2|ALB|Albania|27
3|ARE|United Arab Emirates|27
4|ARG|Argentina|27
5|ARM|Armenia|27
6|ATG|Antigua & Barbuda|25
7|AZE|Azerbaijan|27
8|BDI|Burundi|27
9|BEN|Benin|27
10|BFA|Burkina Faso|27
11|BGD|Bangladesh|27
12|BHR|Bahrain|27
13|BHS|Bahamas|25
14|BIH|Bosnia & Herzegovina|25
15|BLR|Belarus|27
16|BLZ|Belize|27
17|BOL|Bolivia|27
18|BRA|Brazil|27
19|BRB|Barbados|27
20|BRN|Brunei Darussalam|27
21|BTN|Bhutan|27
22|BWA|Botswana|27
23|CAF|Central African Rep.|25
24|CHL|Chile|27
25|CHN|China|27
26|CIV|CÃ´te d'Ivoire|1
27|CIV|Côte d'Ivoire|24
28|CMR|Cameroon|27
29|COD|Congo DR|25
30|COG|Congo|25
31|COL|Colombia|27
32|COM|Comoros|27
33|CPV|Cape Verde|25
34|CRI|Costa Rica|27
35|CUB|Cuba|25
36|DJI|Djibouti|27
37|DMA|Dominica|27
38|DOM|Dominican Rep.|25
39|DZA|Algeria|27
40|ECU|Ecuador|27
41|EGY|Egypt|25
42|ERI|Eritrea|27
43|ETH|Ethiopia|27
44|FJI|Fiji|27
45|FSM|Micronesia (Fed. states of)|25
46|GAB|Gabon|27
47|GEO|Georgia|27
48|GHA|Ghana|27
49|GIN|Guinea|27
50|GMB|Gambia|25
51|GNB|Guinea Bissau|25
52|GNQ|Equatorial Guinea|27
53|GRD|Grenada|27
54|GTM|Guatemala|27
55|GUY|Guyana|27
56|HKG|Hong Kong|25
57|HND|Honduras|27
58|HTI|Haiti|27
59|IDN|Indonesia|27
60|IND|India|27
61|IRN|Iran|25
62|IRQ|Iraq|27
63|JAM|Jamaica|27
64|JOR|Jordan|27
65|KAZ|Kazakhstan|27
66|KEN|Kenya|27
67|KGZ|Kyrgyzstan|25
68|KHM|Cambodia|27
69|KIR|Kiribati|27
70|KOR|Korea Rep.|25
71|KWT|Kuwait|27
72|LAO|Lao PDR|27
73|LBN|Lebanon|27
74|LBR|Liberia|27
75|LBY|Libya|27
76|LKA|Sri Lanka|27
77|LSO|Lesotho|27
78|MAC|Macau|25
79|MAR|Morocco|27
80|MDA|Moldova|27
81|MDG|Madagascar|27
82|MDV|Maldives|27
83|MEX|Mexico|27
84|MHL|Marshall Islands|27
85|MKD|Macedonia|25
86|MLI|Mali|27
87|MMR|Myanmar|27
88|MNE|Montenegro|27
89|MNG|Mongolia|27
90|MOZ|Mozambique|27
91|MRT|Mauritania|27
92|MUS|Mauritius|27
93|MWI|Malawi|27
94|MYS|Malaysia|27
95|NAM|Namibia|27
96|NER|Niger|27
97|NGA|Nigeria|27
98|NIC|Nicaragua|27
99|NPL|Nepal|27
100|NRU|Nauru|25
101|OMN|Oman|27
102|PAK|Pakistan|27
103|PAN|Panama|27
104|PER|Peru|27
105|PHL|Philippines|27
106|PLW|Palau|27
107|PNG|Papua New Guinea|27
108|PRK|Korea PDR|25
109|PRY|Paraguay|27
110|PSE|West Bank & Gaza (ILO)/State of Palestine (UN)|25
111|QAT|Qatar|27
112|RUS|Russian Fed.|25
113|RWA|Rwanda|27
114|SAU|Saudi Arabia|27
115|SDN|Sudan (current)|5
116|SDN|Sudan (former)|19
117|SEN|Senegal|27
118|SLB|Solomon Islands|27
119|SLE|Sierra Leone|27
120|SLV|El Salvador|27
121|SOM|Somalia|27
122|SRB|Serbia|27
123|SSD|South Sudan|27
124|STP|Sao Tome & Principe|25
125|SUR|Suriname|27
126|SWZ|Swaziland|27
127|SYC|Seychelles|27
128|SYR|Syria|25
129|TCD|Chad|27
130|TGO|Togo|27
131|THA|Thailand|27
132|TJK|Tajikistan|27
133|TKM|Turkmenistan|25
134|TLS|Timor Leste|25
135|TON|Tonga|27
136|TTO|Trinidad & Tobago|25
137|TUN|Tunisia|27
138|TUR|Turkey|27
139|TUV|Tuvalu|25
140|TZA|Tanzania (= UN Mainland + Zanzibar, ILO U.R. Tanzania)|25
141|UGA|Uganda|27
142|UKR|Ukraine|27
143|URY|Uruguay|27
144|UZB|Uzbekistan|27
145|VEN|Venezuela|25
146|VNM|Vietnam|27
147|VUT|Vanuatu|27
148|WSM|Samoa|27
149|XKX|Kosovo|27
150|YEM|Yemen|25
151|ZAF|South Africa|27
152|ZMB|Zambia|27
153|ZWE|Zimbabwe|27
